Date : 2022-10-13 09:40:26
Directory : f:\Unity\Project\Dungeon Throne\Assets\Scripts
Total : 103 files,  4935 codes, 774 comments, 873 blanks, all 6582 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |        103 |      4,935 |        774 |        873 |      6,582 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |        103 |      4,935 |        774 |        873 |      6,582 |
| AnimatorStateMachine                                                                               |          1 |         28 |         17 |         11 |         56 |
| Audio                                                                                              |          3 |         44 |         11 |         13 |         68 |
| Character                                                                                          |         18 |        838 |        158 |        207 |      1,203 |
| Character\Enemy                                                                                    |          8 |        493 |         93 |        119 |        705 |
| Character\Player                                                                                   |          8 |        324 |         65 |         83 |        472 |
| Character\Player\Animation                                                                         |          1 |         38 |         14 |         11 |         63 |
| Character\Player\Attack                                                                            |          1 |          7 |          0 |          2 |          9 |
| Character\Player\Control                                                                           |          2 |        117 |         29 |         25 |        171 |
| Character\Player\SFX                                                                               |          1 |         21 |          0 |          7 |         28 |
| Character\Player\Stats                                                                             |          3 |        141 |         22 |         38 |        201 |
| EditorExtensions                                                                                   |          3 |        118 |          3 |         16 |        137 |
| FSM                                                                                                |         21 |        749 |         86 |        140 |        975 |
| FSM\Base                                                                                           |          2 |         38 |         25 |         13 |         76 |
| FSM\Enemy                                                                                          |         10 |        376 |         42 |         69 |        487 |
| FSM\Enemy\States                                                                                   |          8 |        288 |         17 |         52 |        357 |
| FSM\Player                                                                                         |          9 |        335 |         19 |         58 |        412 |
| FSM\Player\States                                                                                  |          8 |        305 |         10 |         50 |        365 |
| InputSystem                                                                                        |          2 |        747 |         27 |         41 |        815 |
| Inventory                                                                                          |         13 |        548 |         86 |        121 |        755 |
| Inventory\Item                                                                                     |         12 |        343 |          5 |         89 |        437 |
| Inventory\Item\Base                                                                                |          1 |          9 |          0 |          4 |         13 |
| Inventory\Item\Comsumable                                                                          |          1 |         22 |          0 |          6 |         28 |
| Inventory\Item\EquipmentItem                                                                       |          1 |         21 |          0 |          5 |         26 |
| Inventory\Item\Loot                                                                                |          8 |        264 |          5 |         65 |        334 |
| Inventory\Item\Weapon                                                                              |          1 |         27 |          0 |          9 |         36 |
| Managers                                                                                           |          6 |        687 |        223 |        133 |      1,043 |
| PoolSystem                                                                                         |          2 |        168 |          7 |          2 |        177 |
| Scene                                                                                              |          2 |         62 |          0 |          4 |         66 |
| SceneInteractions                                                                                  |          3 |         64 |          4 |         14 |         82 |
| Tool                                                                                               |          6 |        214 |         73 |         31 |        318 |
| UI                                                                                                 |         22 |        639 |         79 |        135 |        853 |
| UI\Interaction                                                                                     |          5 |        107 |          3 |         23 |        133 |
| UI\Item                                                                                            |         10 |        397 |         66 |         89 |        552 |
| UI\LoadGame                                                                                        |          3 |         56 |          0 |         13 |         69 |
| UI\StateBar                                                                                        |          4 |         79 |         10 |         10 |         99 |
| Weapon                                                                                             |          1 |         29 |          0 |          5 |         34 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                           | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\AnimatorStateMachine\SetAnimatorBool.cs             | C#       |         28 |         17 |         11 |         56 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Audio\AudioData.cs                                  | C#       |          9 |          3 |          3 |         15 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Audio\AudioManager.cs                               | C#       |         19 |          8 |          5 |         32 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Audio\AudioPlayer_UI_Button.cs                      | C#       |         16 |          0 |          5 |         21 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Character_SO.cs                           | C#       |          7 |          0 |          2 |          9 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Enemy\EnemyAI.cs                          | C#       |        216 |         59 |         49 |        324 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Enemy\EnemyAnimatorHandler.cs             | C#       |         48 |         14 |         15 |         77 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Enemy\EnemyAttackHandler.cs               | C#       |         30 |          0 |          8 |         38 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Enemy\EnemyDropHandler.cs                 | C#       |         76 |         12 |         10 |         98 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Enemy\EnemyManager.cs                     | C#       |         37 |          3 |         12 |         52 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Enemy\EnemySFXHandler.cs                  | C#       |         16 |          0 |          5 |         21 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Enemy\EnemyStats.cs                       | C#       |         62 |          5 |         18 |         85 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Enemy\Enemy_SO.cs                         | C#       |          8 |          0 |          2 |         10 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\ICharacterBehaviour.cs                    | C#       |         14 |          0 |          3 |         17 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Player\Animation\PlayerAnimatorHandler.cs | C#       |         38 |         14 |         11 |         63 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Player\Attack\PlayerAttackHandler.cs      | C#       |          7 |          0 |          2 |          9 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Player\Control\CameraHandler.cs           | C#       |         12 |          0 |          3 |         15 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Player\Control\PlayerController.cs        | C#       |        105 |         29 |         22 |        156 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Player\SFX\SFXHandler.cs                  | C#       |         21 |          0 |          7 |         28 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Player\Stats\PlayerData.cs                | C#       |         11 |          0 |          5 |         16 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Player\Stats\PlayerStats.cs               | C#       |        120 |         22 |         29 |        171 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\Character\Player\Stats\Player_SO.cs                 | C#       |         10 |          0 |          4 |         14 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\EditorExtensions\PlayerInputHandlerInspector.cs     | C#       |         40 |          1 |          5 |         46 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\EditorExtensions\PlayerManagerInspector.cs          | C#       |         36 |          1 |          6 |         43 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\EditorExtensions\PlayerStatsInspector.cs            | C#       |         42 |          1 |          5 |         48 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Base\IState.cs                                  | C#       |         10 |         12 |          5 |         27 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Base\StateMachine.cs                            | C#       |         28 |         13 |          8 |         49 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Enemy\EnemyBaseStateMachine.cs                  | C#       |         33 |          6 |          8 |         47 |
| f:\Unity\Project\Dungeon Throne\Assets\Scripts\FSM\Enemy\EnemyStateMachine.cs                      | C#       |         55 |         19 |          9 |         83 |
